Time,Phase 1 [0] Score,Phase 4 [1] Score,Waiting Time,Queue Lengths,Number of Vehicles Exited the Intersection
410,298.5,420.0,969.0,48,299
411,310.5,353.0,927.0,47,299
412,322.5,289.0,887.0,47,300
413,334.5,259.0,883.0,45,300
414,347.0,195.0,843.0,46,300
415,359.0,132.0,805.0,45,302
416,371.0,73.0,771.0,44,302
417,384.0,15.0,738.0,45,302
418,397.0,14.0,764.0,44,304
419,410.0,13.0,790.0,43,304
420,423.5,14.0,816.0,45,306
421,437.0,13.0,843.0,44,306
422,450.5,12.0,870.0,43,307
423,464.5,13.0,897.0,45,307
424,478.5,12.0,925.0,44,307
425,492.5,11.0,953.0,43,308
426,507.5,12.0,982.0,45,309
427,522.0,11.0,1011.0,44,309
428,537.0,10.0,1041.0,43,310
429,552.5,10.0,1071.0,44,311
430,567.5,10.0,1101.0,44,312
431,582.5,10.0,1131.0,44,313
432,597.5,9.0,1161.0,43,314
433,613.5,9.0,1192.0,44,315
434,629.5,9.0,1224.0,44,315
435,645.5,7.0,1256.0,42,317
436,662.0,8.0,1288.0,44,317
437,678.0,7.0,1320.0,43,317
438,694.5,7.0,1353.0,43,318
439,711.5,7.0,1386.0,44,319
440,728.5,7.0,1420.0,44,319
441,745.5,6.0,1454.0,43,320
442,763.0,6.0,1488.0,44,321
443,780.5,5.0,1523.0,43,322
444,798.0,5.0,1558.0,43,323
445,816.0,5.0,1593.0,44,324
446,834.0,5.0,1629.0,44,324
447,852.0,4.0,1665.0,43,325
448,871.0,4.0,1702.0,44,326
449,890.0,5.0,1740.0,45,326
450,818.5,5.0,1601.0,41,328
451,715.0,5.0,1393.0,42,328
452,673.0,7.0,1310.0,43,328
453,634.5,8.0,1235.0,42,329
454,543.5,10.0,1053.0,44,330
455,482.0,12.0,933.0,43,330
456,453.0,14.0,876.0,44,331
457,449.0,18.0,872.0,44,332
458,450.5,22.0,879.0,44,332
459,458.0,26.0,897.0,45,332
460,464.5,31.0,916.0,44,334
461,402.5,35.0,797.0,43,334
462,407.5,41.0,813.0,43,335
463,316.5,47.0,637.0,43,335
464,225.5,53.0,461.0,43,336
465,201.0,61.0,421.0,42,337
466,177.0,68.0,380.0,42,338
467,182.0,75.0,397.0,42,339
468,186.5,84.0,415.0,42,341
469,192.5,92.0,436.0,41,341
470,199.0,101.0,457.0,42,343
471,205.0,110.0,480.0,40,345
472,212.5,119.0,504.0,40,345
473,219.0,129.0,528.0,39,346
474,226.5,139.0,553.0,39,346
475,234.0,149.0,578.0,39,348
476,242.0,161.0,605.0,40,350
477,249.5,173.0,632.0,40,351
478,258.0,184.0,659.0,41,352
479,264.0,196.0,684.0,40,353
480,270.5,209.0,710.0,40,354
481,278.0,222.0,738.0,40,354
482,285.5,235.0,766.0,40,355
483,292.5,249.0,794.0,40,356
484,286.0,264.0,795.0,41,357
485,278.5,278.0,795.0,40,357
486,271.0,293.0,796.0,39,358
487,264.0,310.0,797.0,41,359
488,256.0,326.0,798.0,40,359
489,247.5,344.0,799.0,40,359
490,239.5,362.0,799.0,42,360
491,230.0,379.0,799.0,40,360
492,222.0,397.0,801.0,40,362
493,215.0,416.0,804.0,42,363
494,207.5,435.0,808.0,42,364
495,211.5,368.0,751.0,40,365
496,216.0,308.0,698.0,42,365
497,220.5,255.0,653.0,43,366
498,226.0,208.0,617.0,43,367
499,232.5,162.0,585.0,42,367
500,239.5,128.0,565.0,42,368
501,138.5,101.0,336.0,42,368
502,45.0,78.0,126.0,42,368
503,51.0,74.0,135.0,41,369
504,58.5,56.0,131.0,42,369
505,66.0,40.0,130.0,42,369
506,73.5,35.0,141.0,41,369
507,82.5,30.0,153.0,42,370
508,91.5,15.0,157.0,41,371
509,100.0,15.0,174.0,41,372
510,110.0,15.0,193.0,42,372
511,120.5,13.0,213.0,41,372
512,130.5,14.0,233.0,42,374
513,141.5,12.0,254.0,41,374
514,153.5,12.0,276.0,43,376
515,165.0,12.0,299.0,43,376
516,177.0,12.0,323.0,43,376
517,190.0,12.0,347.0,45,378
518,203.5,11.0,374.0,44,379
519,217.0,11.0,401.0,44,379
520,231.5,10.0,428.0,45,380
521,245.0,10.0,455.0,45,381
522,259.0,10.0,483.0,45,382
523,274.5,9.0,512.0,46,383
524,289.0,9.0,541.0,46,383
525,304.0,9.0,571.0,46,384
526,320.5,9.0,602.0,48,385
527,336.5,9.0,634.0,48,385
528,353.0,8.0,667.0,47,386
529,371.0,8.0,701.0,49,387
530,388.0,8.0,735.0,49,387
531,406.0,8.0,771.0,49,387
532,425.0,8.0,807.0,51,388
533,443.5,7.0,844.0,50,388
534,462.5,7.0,882.0,50,389
535,483.0,7.0,921.0,52,390
536,503.0,5.0,961.0,50,391
537,523.0,6.0,1001.0,51,392
538,544.0,6.0,1042.0,52,392
539,564.5,7.0,1083.0,53,393
540,502.0,8.0,963.0,49,394
541,442.5,9.0,844.0,50,395
542,401.5,12.0,764.0,51,396
543,362.5,15.0,689.0,51,397
544,310.0,18.0,588.0,50,397
545,265.5,23.0,503.0,51,398
546,227.5,27.0,431.0,51,399
547,191.0,33.0,363.0,52,399
548,160.5,38.0,308.0,51,399
549,148.5,43.0,288.0,52,399
550,123.0,51.0,243.0,54,400
551,97.5,58.0,200.0,53,401
552,80.5,65.0,174.0,52,403
553,92.0,73.0,204.0,53,404
554,99.0,81.0,225.0,54,404
555,106.0,89.0,247.0,54,404
556,114.5,97.0,274.0,52,405
557,125.0,107.0,304.0,53,405
558,134.5,116.0,333.0,52,406
559,144.0,126.0,364.0,50,407
560,154.0,137.0,394.0,51,407
561,158.5,148.0,414.0,51,408
562,168.5,159.0,446.0,50,409
563,178.5,170.0,478.0,49,410
564,189.5,182.0,512.0,49,411
565,201.0,195.0,548.0,49,412
566,213.0,208.0,584.0,50,413
567,223.5,223.0,621.0,49,413
568,235.0,238.0,658.0,50,414
569,246.5,252.0,695.0,50,416
570,257.5,267.0,732.0,50,417
571,269.0,283.0,771.0,50,418
572,266.0,300.0,782.0,50,418
573,263.0,317.0,793.0,50,419
574,245.0,336.0,776.0,50,420
575,229.0,353.0,760.0,51,421
576,211.0,372.0,745.0,49,421
577,192.0,392.0,726.0,50,422
578,173.5,411.0,707.0,51,422
579,168.5,431.0,717.0,51,423
